LocalTime,Power(MW)
01/01/06 00:00,0.00
01/01/06 01:00,0.00
01/01/06 02:00,0.00
01/01/06 03:00,0.00
01/01/06 04:00,0.00
01/01/06 05:00,0.00
01/01/06 06:00,0.00
01/01/06 07:00,0.33
01/01/06 08:00,2.46
01/01/06 09:00,4.04
01/01/06 10:00,4.96
01/01/06 11:00,2.05
01/01/06 12:00,2.33
01/01/06 13:00,2.58
01/01/06 14:00,1.50
01/01/06 15:00,0.00
01/01/06 16:00,0.00
01/01/06 17:00,0.00
01/01/06 18:00,0.00
01/01/06 19:00,0.00
01/01/06 20:00,0.00
01/01/06 21:00,0.00
01/01/06 22:00,0.00
01/01/06 23:00,0.00
01/02/06 00:00,0.00
01/02/06 01:00,0.00
01/02/06 02:00,0.00
01/02/06 03:00,0.00
01/02/06 04:00,0.00
01/02/06 05:00,0.00
01/02/06 06:00,0.00
01/02/06 07:00,0.01
01/02/06 08:00,0.60
01/02/06 09:00,0.10
01/02/06 10:00,0.89
01/02/06 11:00,1.24
01/02/06 12:00,1.40
01/02/06 13:00,1.82
01/02/06 14:00,1.22
01/02/06 15:00,0.02
01/02/06 16:00,0.00
01/02/06 17:00,0.00
01/02/06 18:00,0.00
01/02/06 19:00,0.00
01/02/06 20:00,0.00
01/02/06 21:00,0.00
01/02/06 22:00,0.00
01/02/06 23:00,0.00
01/03/06 00:00,0.00
01/03/06 01:00,0.00
01/03/06 02:00,0.00
01/03/06 03:00,0.00
01/03/06 04:00,0.00
01/03/06 05:00,0.00
01/03/06 06:00,0.00
01/03/06 07:00,0.34
01/03/06 08:00,2.48
01/03/06 09:00,3.96
01/03/06 10:00,4.83
01/03/06 11:00,5.40
01/03/06 12:00,4.80
01/03/06 13:00,2.93
01/03/06 14:00,2.27
01/03/06 15:00,0.35
01/03/06 16:00,0.00
01/03/06 17:00,0.00
01/03/06 18:00,0.00
01/03/06 19:00,0.00
01/03/06 20:00,0.00
01/03/06 21:00,0.00
01/03/06 22:00,0.00
01/03/06 23:00,0.00
01/04/06 00:00,0.00
01/04/06 01:00,0.00
01/04/06 02:00,0.00
01/04/06 03:00,0.00
01/04/06 04:00,0.00
01/04/06 05:00,0.00
01/04/06 06:00,0.00
01/04/06 07:00,0.21
01/04/06 08:00,2.34
01/04/06 09:00,4.04
01/04/06 10:00,5.05
01/04/06 11:00,5.49
01/04/06 12:00,5.55
01/04/06 13:00,5.07
01/04/06 14:00,3.85
01/04/06 15:00,1.90
01/04/06 16:00,0.00
01/04/06 17:00,0.00
01/04/06 18:00,0.00
01/04/06 19:00,0.00
01/04/06 20:00,0.00
01/04/06 21:00,0.00
01/04/06 22:00,0.00
01/04/06 23:00,0.00
01/05/06 00:00,0.00
01/05/06 01:00,0.00
01/05/06 02:00,0.00
01/05/06 03:00,0.00
01/05/06 04:00,0.00
01/05/06 05:00,0.00
01/05/06 06:00,0.00
01/05/06 07:00,0.32
01/05/06 08:00,2.49
01/05/06 09:00,3.98
01/05/06 10:00,5.05
01/05/06 11:00,5.59
01/05/06 12:00,5.55
01/05/06 13:00,5.05
01/05/06 14:00,3.88
01/05/06 15:00,1.94
01/05/06 16:00,0.00
01/05/06 17:00,0.00
01/05/06 18:00,0.00
01/05/06 19:00,0.00
01/05/06 20:00,0.00
01/05/06 21:00,0.00
01/05/06 22:00,0.00
01/05/06 23:00,0.00
01/06/06 00:00,0.00
01/06/06 01:00,0.00
01/06/06 02:00,0.00
01/06/06 03:00,0.00
01/06/06 04:00,0.00
01/06/06 05:00,0.00
01/06/06 06:00,0.00
01/06/06 07:00,0.28
01/06/06 08:00,2.27
01/06/06 09:00,3.84
01/06/06 10:00,4.71
01/06/06 11:00,5.12
01/06/06 12:00,5.09
01/06/06 13:00,4.82
01/06/06 14:00,3.88
01/06/06 15:00,1.93
01/06/06 16:00,0.00
01/06/06 17:00,0.00
01/06/06 18:00,0.00
01/06/06 19:00,0.00
01/06/06 20:00,0.00
01/06/06 21:00,0.00
01/06/06 22:00,0.00
01/06/06 23:00,0.00
01/07/06 00:00,0.00
01/07/06 01:00,0.00
01/07/06 02:00,0.00
01/07/06 03:00,0.00
01/07/06 04:00,0.00
01/07/06 05:00,0.00
01/07/06 06:00,0.00
01/07/06 07:00,0.13
01/07/06 08:00,0.24
01/07/06 09:00,1.00
01/07/06 10:00,1.36
01/07/06 11:00,2.53
01/07/06 12:00,4.25
01/07/06 13:00,4.92
01/07/06 14:00,3.56
01/07/06 15:00,1.97
01/07/06 16:00,0.00
01/07/06 17:00,0.00
01/07/06 18:00,0.00
01/07/06 19:00,0.00
01/07/06 20:00,0.00
01/07/06 21:00,0.00
01/07/06 22:00,0.00
01/07/06 23:00,0.00
01/08/06 00:00,0.00
01/08/06 01:00,0.00
01/08/06 02:00,0.00
01/08/06 03:00,0.00
01/08/06 04:00,0.00
01/08/06 05:00,0.00
01/08/06 06:00,0.00
01/08/06 07:00,0.26
01/08/06 08:00,2.29
01/08/06 09:00,3.94
01/08/06 10:00,4.96
01/08/06 11:00,5.46
01/08/06 12:00,5.66
01/08/06 13:00,5.15
01/08/06 14:00,3.97
01/08/06 15:00,2.02
01/08/06 16:00,0.00
01/08/06 17:00,0.00
01/08/06 18:00,0.00
01/08/06 19:00,0.00
01/08/06 20:00,0.00
01/08/06 21:00,0.00
01/08/06 22:00,0.00
01/08/06 23:00,0.00
01/09/06 00:00,0.00
01/09/06 01:00,0.00
01/09/06 02:00,0.00
01/09/06 03:00,0.00
01/09/06 04:00,0.00
01/09/06 05:00,0.00
01/09/06 06:00,0.00
01/09/06 07:00,0.33
01/09/06 08:00,2.50
01/09/06 09:00,3.89
01/09/06 10:00,4.92
01/09/06 11:00,5.44
01/09/06 12:00,5.52
01/09/06 13:00,5.07
01/09/06 14:00,3.92
01/09/06 15:00,2.04
01/09/06 16:00,0.00
01/09/06 17:00,0.00
01/09/06 18:00,0.00
01/09/06 19:00,0.00
01/09/06 20:00,0.00
01/09/06 21:00,0.00
01/09/06 22:00,0.00
01/09/06 23:00,0.00
01/10/06 00:00,0.00
01/10/06 01:00,0.00
01/10/06 02:00,0.00
01/10/06 03:00,0.00
01/10/06 04:00,0.00
01/10/06 05:00,0.00
01/10/06 06:00,0.00
01/10/06 07:00,0.33
01/10/06 08:00,2.45
01/10/06 09:00,3.98
01/10/06 10:00,4.85
01/10/06 11:00,5.35
01/10/06 12:00,5.40
01/10/06 13:00,4.91
01/10/06 14:00,3.89
01/10/06 15:00,1.97
01/10/06 16:00,0.00
01/10/06 17:00,0.00
01/10/06 18:00,0.00
01/10/06 19:00,0.00
01/10/06 20:00,0.00
01/10/06 21:00,0.00
01/10/06 22:00,0.00
01/10/06 23:00,0.00
01/11/06 00:00,0.00
01/11/06 01:00,0.00
01/11/06 02:00,0.00
01/11/06 03:00,0.00
01/11/06 04:00,0.00
01/11/06 05:00,0.00
01/11/06 06:00,0.00
01/11/06 07:00,0.00
01/11/06 08:00,0.01
