LocalTime,Power(MW)
01/01/06 00:00,0.0
01/01/06 01:00,0.0
01/01/06 02:00,0.0
01/01/06 03:00,0.0
01/01/06 04:00,0.0
01/01/06 05:00,0.0
01/01/06 06:00,0.0
01/01/06 07:00,0.0
01/01/06 08:00,0.0
01/01/06 09:00,0.5
01/01/06 10:00,7.8
01/01/06 11:00,24.9
01/01/06 12:00,31.1
01/01/06 13:00,35.7
01/01/06 14:00,47.2
01/01/06 15:00,22.7
01/01/06 16:00,0.1
01/01/06 17:00,0.0
01/01/06 18:00,0.0
01/01/06 19:00,0.0
01/01/06 20:00,0.0
01/01/06 21:00,0.0
01/01/06 22:00,0.0
01/01/06 23:00,0.0
01/02/06 00:00,0.0
01/02/06 01:00,0.0
01/02/06 02:00,0.0
01/02/06 03:00,0.0
01/02/06 04:00,0.0
01/02/06 05:00,0.0
01/02/06 06:00,0.0
01/02/06 07:00,0.0
01/02/06 08:00,0.0
01/02/06 09:00,0.3
01/02/06 10:00,2.2
01/02/06 11:00,25.0
01/02/06 12:00,47.8
01/02/06 13:00,54.0
01/02/06 14:00,2.1
01/02/06 15:00,2.1
01/02/06 16:00,0.4
01/02/06 17:00,13.6
01/02/06 18:00,0.0
01/02/06 19:00,0.0
01/02/06 20:00,0.0
01/02/06 21:00,0.0
01/02/06 22:00,0.0
01/02/06 23:00,0.0
01/03/06 00:00,0.0
01/03/06 01:00,0.0
01/03/06 02:00,0.0
01/03/06 03:00,0.0
01/03/06 04:00,0.0
01/03/06 05:00,0.0
01/03/06 06:00,0.0
01/03/06 07:00,0.0
01/03/06 08:00,28.0
01/03/06 09:00,97.7
01/03/06 10:00,117.9
01/03/06 11:00,115.5
01/03/06 12:00,111.6
01/03/06 13:00,113.7
01/03/06 14:00,121.2
01/03/06 15:00,119.9
01/03/06 16:00,109.2
01/03/06 17:00,59.1
01/03/06 18:00,0.0
01/03/06 19:00,0.0
01/03/06 20:00,0.0
01/03/06 21:00,0.0
01/03/06 22:00,0.0
01/03/06 23:00,0.0
01/04/06 00:00,0.0
01/04/06 01:00,0.0
01/04/06 02:00,0.0
01/04/06 03:00,0.0
01/04/06 04:00,0.0
01/04/06 05:00,0.0
01/04/06 06:00,0.0
01/04/06 07:00,0.0
01/04/06 08:00,27.3
01/04/06 09:00,93.5
01/04/06 10:00,113.1
01/04/06 11:00,111.2
01/04/06 12:00,105.2
01/04/06 13:00,112.5
01/04/06 14:00,102.9
01/04/06 15:00,102.3
01/04/06 16:00,98.6
01/04/06 17:00,57.8
01/04/06 18:00,0.0
01/04/06 19:00,0.0
