LocalTime,Power(MW)
01/01/06 00:00,0.0
01/01/06 01:00,0.0
01/01/06 02:00,0.0
01/01/06 03:00,0.0
01/01/06 04:00,0.0
01/01/06 05:00,0.0
01/01/06 06:00,0.0
01/01/06 07:00,0.0
01/01/06 08:00,0.0
01/01/06 09:00,0.0
01/01/06 10:00,0.0
01/01/06 11:00,0.0
01/01/06 12:00,0.0
01/01/06 13:00,0.0
01/01/06 14:00,0.0
01/01/06 15:00,0.0
01/01/06 16:00,0.0
01/01/06 17:00,0.0
01/01/06 18:00,0.0
01/01/06 19:00,0.0
01/01/06 20:00,0.0
01/01/06 21:00,0.0
01/01/06 22:00,0.0
01/01/06 23:00,0.0
01/02/06 00:00,0.0
01/02/06 01:00,0.0
01/02/06 02:00,0.0
01/02/06 03:00,0.0
01/02/06 04:00,0.0
01/02/06 05:00,0.0
01/02/06 06:00,0.0
01/02/06 07:00,0.0
01/02/06 08:00,9.3
01/02/06 09:00,15.8
01/02/06 10:00,22.3
01/02/06 11:00,68.6
01/02/06 12:00,70.8
01/02/06 13:00,60.3
01/02/06 14:00,41.4
01/02/06 15:00,19.1
01/02/06 16:00,12.5
01/02/06 17:00,2.6
01/02/06 18:00,0.0
01/02/06 19:00,0.0
01/02/06 20:00,0.0
01/02/06 21:00,0.0
01/02/06 22:00,0.0
01/02/06 23:00,0.0
01/03/06 00:00,0.0
01/03/06 01:00,0.0
01/03/06 02:00,0.0
01/03/06 03:00,0.0
01/03/06 04:00,0.0
01/03/06 05:00,0.0
01/03/06 06:00,0.0
01/03/06 07:00,0.0
01/03/06 08:00,18.6
01/03/06 09:00,49.1
01/03/06 10:00,59.9
01/03/06 11:00,17.0
01/03/06 12:00,31.2
01/03/06 13:00,19.0
01/03/06 14:00,11.7
01/03/06 15:00,23.9
01/03/06 16:00,19.7
01/03/06 17:00,2.6
01/03/06 18:00,0.0
01/03/06 19:00,0.0
01/03/06 20:00,0.0
01/03/06 21:00,0.0
01/03/06 22:00,0.0
01/03/06 23:00,0.0
01/04/06 00:00,0.0
01/04/06 01:00,0.0
01/04/06 02:00,0.0
01/04/06 03:00,0.0
01/04/06 04:00,0.0
01/04/06 05:00,0.0
01/04/06 06:00,0.0
01/04/06 07:00,0.0
01/04/06 08:00,11.7
01/04/06 09:00,6.5
01/04/06 10:00,26.3
01/04/06 11:00,67.7
01/04/06 12:00,68.7
01/04/06 13:00,64.8
01/04/06 14:00,59.3
01/04/06 15:00,45.3
01/04/06 16:00,23.5
01/04/06 17:00,2.7
01/04/06 18:00,0.0
01/04/06 19:00,0.0
