LocalTime,Power(MW)
01/01/06 00:00,0.0
01/01/06 01:00,0.0
01/01/06 02:00,0.0
01/01/06 03:00,0.0
01/01/06 04:00,0.0
01/01/06 05:00,0.0
01/01/06 06:00,0.0
01/01/06 07:00,0.0
01/01/06 08:00,18.8
01/01/06 09:00,38.0
01/01/06 10:00,47.9
01/01/06 11:00,53.4
01/01/06 12:00,56.9
01/01/06 13:00,52.1
01/01/06 14:00,41.8
01/01/06 15:00,30.7
01/01/06 16:00,11.0
01/01/06 17:00,0.0
01/01/06 18:00,0.0
01/01/06 19:00,0.0
01/01/06 20:00,0.0
01/01/06 21:00,0.0
01/01/06 22:00,0.0
01/01/06 23:00,0.0
01/02/06 00:00,0.0
01/02/06 01:00,0.0
01/02/06 02:00,0.0
01/02/06 03:00,0.0
01/02/06 04:00,0.0
01/02/06 05:00,0.0
01/02/06 06:00,0.0
01/02/06 07:00,0.0
01/02/06 08:00,18.8
01/02/06 09:00,37.4
01/02/06 10:00,45.9
01/02/06 11:00,49.8
01/02/06 12:00,50.3
01/02/06 13:00,46.6
01/02/06 14:00,41.6
01/02/06 15:00,28.7
01/02/06 16:00,12.1
01/02/06 17:00,0.0
01/02/06 18:00,0.0
01/02/06 19:00,0.0
01/02/06 20:00,0.0
01/02/06 21:00,0.0
01/02/06 22:00,0.0
01/02/06 23:00,0.0
01/03/06 00:00,0.0
01/03/06 01:00,0.0
01/03/06 02:00,0.0
01/03/06 03:00,0.0
01/03/06 04:00,0.0
01/03/06 05:00,0.0
01/03/06 06:00,0.0
01/03/06 07:00,0.0
01/03/06 08:00,18.6
01/03/06 09:00,23.7
01/03/06 10:00,37.9
01/03/06 11:00,46.3
01/03/06 12:00,51.8
01/03/06 13:00,47.5
01/03/06 14:00,37.3
01/03/06 15:00,25.6
01/03/06 16:00,11.0
01/03/06 17:00,0.0
01/03/06 18:00,0.0
01/03/06 19:00,0.0
01/03/06 20:00,0.0
01/03/06 21:00,0.0
01/03/06 22:00,0.0
01/03/06 23:00,0.0
01/04/06 00:00,0.0
01/04/06 01:00,0.0
01/04/06 02:00,0.0
01/04/06 03:00,0.0
01/04/06 04:00,0.0
01/04/06 05:00,0.0
01/04/06 06:00,0.0
01/04/06 07:00,0.0
01/04/06 08:00,13.4
01/04/06 09:00,39.8
01/04/06 10:00,48.7
01/04/06 11:00,53.0
01/04/06 12:00,55.9
01/04/06 13:00,47.7
01/04/06 14:00,43.1
01/04/06 15:00,29.1
01/04/06 16:00,12.3
01/04/06 17:00,0.0
01/04/06 18:00,0.0
01/04/06 19:00,0.0
