LocalTime,Power(MW)
01/01/06 00:00,0.0
01/01/06 01:00,0.0
01/01/06 02:00,0.0
01/01/06 03:00,0.0
01/01/06 04:00,0.0
01/01/06 05:00,0.0
01/01/06 06:00,0.0
01/01/06 07:00,19.5
01/01/06 08:00,68.2
01/01/06 09:00,5.0
01/01/06 10:00,71.6
01/01/06 11:00,70.7
01/01/06 12:00,51.4
01/01/06 13:00,29.1
01/01/06 14:00,21.9
01/01/06 15:00,0.9
01/01/06 16:00,0.0
01/01/06 17:00,0.0
01/01/06 18:00,0.0
01/01/06 19:00,0.0
01/01/06 20:00,0.0
01/01/06 21:00,0.0
01/01/06 22:00,0.0
01/01/06 23:00,0.0
01/02/06 00:00,0.0
01/02/06 01:00,0.0
01/02/06 02:00,0.0
01/02/06 03:00,0.0
01/02/06 04:00,0.0
01/02/06 05:00,0.0
01/02/06 06:00,0.0
01/02/06 07:00,2.7
01/02/06 08:00,30.1
01/02/06 09:00,0.7
01/02/06 10:00,28.1
01/02/06 11:00,0.8
01/02/06 12:00,27.0
01/02/06 13:00,20.4
01/02/06 14:00,6.7
01/02/06 15:00,3.8
01/02/06 16:00,0.0
01/02/06 17:00,0.0
01/02/06 18:00,0.0
01/02/06 19:00,0.0
01/02/06 20:00,0.0
01/02/06 21:00,0.0
01/02/06 22:00,0.0
01/02/06 23:00,0.0
01/03/06 00:00,0.0
01/03/06 01:00,0.0
01/03/06 02:00,0.0
01/03/06 03:00,0.0
01/03/06 04:00,0.0
01/03/06 05:00,0.0
01/03/06 06:00,0.0
01/03/06 07:00,0.0
01/03/06 08:00,66.0
01/03/06 09:00,98.3
01/03/06 10:00,42.4
01/03/06 11:00,126.4
01/03/06 12:00,28.6
01/03/06 13:00,9.4
01/03/06 14:00,79.1
01/03/06 15:00,24.8
01/03/06 16:00,0.0
01/03/06 17:00,0.0
01/03/06 18:00,0.0
01/03/06 19:00,0.0
01/03/06 20:00,0.0
01/03/06 21:00,0.0
01/03/06 22:00,0.0
01/03/06 23:00,0.0
01/04/06 00:00,0.0
01/04/06 01:00,0.0
01/04/06 02:00,0.0
01/04/06 03:00,0.0
01/04/06 04:00,0.0
01/04/06 05:00,0.0
01/04/06 06:00,0.0
01/04/06 07:00,14.0
01/04/06 08:00,64.7
01/04/06 09:00,70.1
01/04/06 10:00,118.9
01/04/06 11:00,123.8
01/04/06 12:00,105.0
01/04/06 13:00,83.3
01/04/06 14:00,62.6
01/04/06 15:00,35.4
01/04/06 16:00,0.0
01/04/06 17:00,0.0
01/04/06 18:00,0.0
01/04/06 19:00,0.0
