LocalTime,Power(MW)
01/01/06 00:00,0.00
01/01/06 01:00,0.00
01/01/06 02:00,0.00
01/01/06 03:00,0.00
01/01/06 04:00,0.00
01/01/06 05:00,0.00
01/01/06 06:00,0.00
01/01/06 07:00,0.08
01/01/06 08:00,2.17
01/01/06 09:00,3.83
01/01/06 10:00,4.96
01/01/06 11:00,5.44
01/01/06 12:00,5.37
01/01/06 13:00,4.76
01/01/06 14:00,3.38
01/01/06 15:00,1.25
01/01/06 16:00,0.00
01/01/06 17:00,0.00
01/01/06 18:00,0.00
01/01/06 19:00,0.00
01/01/06 20:00,0.00
01/01/06 21:00,0.00
01/01/06 22:00,0.00
01/01/06 23:00,0.00
01/02/06 00:00,0.00
01/02/06 01:00,0.00
01/02/06 02:00,0.00
01/02/06 03:00,0.00
01/02/06 04:00,0.00
01/02/06 05:00,0.00
01/02/06 06:00,0.00
01/02/06 07:00,0.08
01/02/06 08:00,2.17
01/02/06 09:00,3.73
01/02/06 10:00,4.85
01/02/06 11:00,5.24
01/02/06 12:00,5.10
01/02/06 13:00,4.35
01/02/06 14:00,1.83
01/02/06 15:00,1.36
01/02/06 16:00,0.00
01/02/06 17:00,0.00
01/02/06 18:00,0.00
01/02/06 19:00,0.00
01/02/06 20:00,0.00
01/02/06 21:00,0.00
01/02/06 22:00,0.00
01/02/06 23:00,0.00
01/03/06 00:00,0.00
01/03/06 01:00,0.00
01/03/06 02:00,0.00
01/03/06 03:00,0.00
01/03/06 04:00,0.00
01/03/06 05:00,0.00
01/03/06 06:00,0.00
01/03/06 07:00,0.09
01/03/06 08:00,2.25
01/03/06 09:00,3.32
01/03/06 10:00,2.55
01/03/06 11:00,3.83
01/03/06 12:00,4.61
01/03/06 13:00,4.80
01/03/06 14:00,1.71
01/03/06 15:00,1.33
01/03/06 16:00,0.00
01/03/06 17:00,0.00
01/03/06 18:00,0.00
01/03/06 19:00,0.00
01/03/06 20:00,0.00
01/03/06 21:00,0.00
01/03/06 22:00,0.00
01/03/06 23:00,0.00
01/04/06 00:00,0.00
01/04/06 01:00,0.00
01/04/06 02:00,0.00
01/04/06 03:00,0.00
01/04/06 04:00,0.00
01/04/06 05:00,0.00
01/04/06 06:00,0.00
01/04/06 07:00,0.08
01/04/06 08:00,2.19
01/04/06 09:00,3.79
01/04/06 10:00,4.92
01/04/06 11:00,5.47
01/04/06 12:00,5.46
01/04/06 13:00,4.85
01/04/06 14:00,3.48
01/04/06 15:00,1.38
01/04/06 16:00,0.00
01/04/06 17:00,0.00
01/04/06 18:00,0.00
01/04/06 19:00,0.00
01/04/06 20:00,0.00
01/04/06 21:00,0.00
01/04/06 22:00,0.00
01/04/06 23:00,0.00
01/05/06 00:00,0.00
01/05/06 01:00,0.00
01/05/06 02:00,0.00
01/05/06 03:00,0.00
01/05/06 04:00,0.00
01/05/06 05:00,0.00
01/05/06 06:00,0.00
01/05/06 07:00,0.08
01/05/06 08:00,2.23
01/05/06 09:00,3.90
01/05/06 10:00,5.00
01/05/06 11:00,5.49
01/05/06 12:00,5.41
01/05/06 13:00,4.75
01/05/06 14:00,3.43
01/05/06 15:00,1.42
01/05/06 16:00,0.00
01/05/06 17:00,0.00
01/05/06 18:00,0.00
01/05/06 19:00,0.00
01/05/06 20:00,0.00
01/05/06 21:00,0.00
01/05/06 22:00,0.00
01/05/06 23:00,0.00
01/06/06 00:00,0.00
01/06/06 01:00,0.00
01/06/06 02:00,0.00
01/06/06 03:00,0.00
01/06/06 04:00,0.00
01/06/06 05:00,0.00
01/06/06 06:00,0.00
01/06/06 07:00,0.07
01/06/06 08:00,2.15
01/06/06 09:00,3.76
01/06/06 10:00,4.84
01/06/06 11:00,5.31
01/06/06 12:00,5.22
01/06/06 13:00,4.65
01/06/06 14:00,3.37
01/06/06 15:00,1.42
01/06/06 16:00,0.00
01/06/06 17:00,0.00
01/06/06 18:00,0.00
01/06/06 19:00,0.00
01/06/06 20:00,0.00
01/06/06 21:00,0.00
01/06/06 22:00,0.00
01/06/06 23:00,0.00
01/07/06 00:00,0.00
01/07/06 01:00,0.00
01/07/06 02:00,0.00
01/07/06 03:00,0.00
01/07/06 04:00,0.00
01/07/06 05:00,0.00
01/07/06 06:00,0.00
01/07/06 07:00,0.07
01/07/06 08:00,2.10
01/07/06 09:00,3.66
01/07/06 10:00,4.67
01/07/06 11:00,5.19
01/07/06 12:00,5.12
01/07/06 13:00,4.57
01/07/06 14:00,3.34
01/07/06 15:00,1.40
01/07/06 16:00,0.00
01/07/06 17:00,0.00
01/07/06 18:00,0.00
01/07/06 19:00,0.00
01/07/06 20:00,0.00
01/07/06 21:00,0.00
01/07/06 22:00,0.00
01/07/06 23:00,0.00
01/08/06 00:00,0.00
01/08/06 01:00,0.00
01/08/06 02:00,0.00
01/08/06 03:00,0.00
01/08/06 04:00,0.00
01/08/06 05:00,0.00
01/08/06 06:00,0.00
01/08/06 07:00,0.08
01/08/06 08:00,2.21
01/08/06 09:00,3.89
01/08/06 10:00,4.98
01/08/06 11:00,5.49
01/08/06 12:00,5.59
01/08/06 13:00,4.97
01/08/06 14:00,3.61
01/08/06 15:00,1.48
01/08/06 16:00,0.00
01/08/06 17:00,0.00
01/08/06 18:00,0.00
01/08/06 19:00,0.00
01/08/06 20:00,0.00
01/08/06 21:00,0.00
01/08/06 22:00,0.00
01/08/06 23:00,0.00
01/09/06 00:00,0.00
01/09/06 01:00,0.00
01/09/06 02:00,0.00
01/09/06 03:00,0.00
01/09/06 04:00,0.00
01/09/06 05:00,0.00
01/09/06 06:00,0.00
01/09/06 07:00,0.07
01/09/06 08:00,2.23
01/09/06 09:00,3.89
01/09/06 10:00,5.01
01/09/06 11:00,5.45
01/09/06 12:00,5.44
01/09/06 13:00,4.88
01/09/06 14:00,3.59
01/09/06 15:00,1.58
01/09/06 16:00,0.00
01/09/06 17:00,0.00
01/09/06 18:00,0.00
01/09/06 19:00,0.00
01/09/06 20:00,0.00
01/09/06 21:00,0.00
01/09/06 22:00,0.00
01/09/06 23:00,0.00
01/10/06 00:00,0.00
01/10/06 01:00,0.00
01/10/06 02:00,0.00
01/10/06 03:00,0.00
01/10/06 04:00,0.00
01/10/06 05:00,0.00
01/10/06 06:00,0.00
01/10/06 07:00,0.08
01/10/06 08:00,2.19
01/10/06 09:00,3.78
01/10/06 10:00,4.78
01/10/06 11:00,5.36
01/10/06 12:00,5.34
01/10/06 13:00,4.80
01/10/06 14:00,3.54
01/10/06 15:00,1.59
01/10/06 16:00,0.00
01/10/06 17:00,0.00
01/10/06 18:00,0.00
01/10/06 19:00,0.00
01/10/06 20:00,0.00
01/10/06 21:00,0.00
01/10/06 22:00,0.00
01/10/06 23:00,0.00
01/11/06 00:00,0.00
01/11/06 01:00,0.00
01/11/06 02:00,0.00
01/11/06 03:00,0.00
01/11/06 04:00,0.00
01/11/06 05:00,0.00
01/11/06 06:00,0.00
01/11/06 07:00,0.08
01/11/06 08:00,2.17
