LocalTime,Power(MW)
01/01/06 00:00,0.00
01/01/06 01:00,0.00
01/01/06 02:00,0.00
01/01/06 03:00,0.00
01/01/06 04:00,0.00
01/01/06 05:00,0.00
01/01/06 06:00,0.00
01/01/06 07:00,0.08
01/01/06 08:00,2.17
01/01/06 09:00,0.86
01/01/06 10:00,4.56
01/01/06 11:00,3.68
01/01/06 12:00,2.96
01/01/06 13:00,2.66
01/01/06 14:00,2.76
01/01/06 15:00,0.77
01/01/06 16:00,0.00
01/01/06 17:00,0.00
01/01/06 18:00,0.00
01/01/06 19:00,0.00
01/01/06 20:00,0.00
01/01/06 21:00,0.00
01/01/06 22:00,0.00
01/01/06 23:00,0.00
01/02/06 00:00,0.00
01/02/06 01:00,0.00
01/02/06 02:00,0.00
01/02/06 03:00,0.00
01/02/06 04:00,0.00
01/02/06 05:00,0.00
01/02/06 06:00,0.00
01/02/06 07:00,0.08
01/02/06 08:00,2.17
01/02/06 09:00,0.28
01/02/06 10:00,3.55
01/02/06 11:00,3.64
01/02/06 12:00,3.03
01/02/06 13:00,3.05
01/02/06 14:00,2.15
01/02/06 15:00,0.92
01/02/06 16:00,0.00
01/02/06 17:00,0.00
01/02/06 18:00,0.00
01/02/06 19:00,0.00
01/02/06 20:00,0.00
01/02/06 21:00,0.00
01/02/06 22:00,0.00
01/02/06 23:00,0.00
01/03/06 00:00,0.00
01/03/06 01:00,0.00
01/03/06 02:00,0.00
01/03/06 03:00,0.00
01/03/06 04:00,0.00
01/03/06 05:00,0.00
01/03/06 06:00,0.00
01/03/06 07:00,0.00
01/03/06 08:00,2.25
01/03/06 09:00,3.32
01/03/06 10:00,0.74
01/03/06 11:00,3.90
01/03/06 12:00,5.30
01/03/06 13:00,4.76
01/03/06 14:00,3.56
01/03/06 15:00,1.18
01/03/06 16:00,0.00
01/03/06 17:00,0.00
01/03/06 18:00,0.00
01/03/06 19:00,0.00
01/03/06 20:00,0.00
01/03/06 21:00,0.00
01/03/06 22:00,0.00
01/03/06 23:00,0.00
01/04/06 00:00,0.00
01/04/06 01:00,0.00
01/04/06 02:00,0.00
01/04/06 03:00,0.00
01/04/06 04:00,0.00
01/04/06 05:00,0.00
01/04/06 06:00,0.00
01/04/06 07:00,0.08
01/04/06 08:00,2.19
01/04/06 09:00,0.37
01/04/06 10:00,0.28
01/04/06 11:00,2.10
01/04/06 12:00,4.42
01/04/06 13:00,1.35
01/04/06 14:00,0.14
01/04/06 15:00,0.43
01/04/06 16:00,0.00
01/04/06 17:00,0.00
01/04/06 18:00,0.00
01/04/06 19:00,0.00
01/04/06 20:00,0.00
01/04/06 21:00,0.00
01/04/06 22:00,0.00
01/04/06 23:00,0.00
01/05/06 00:00,0.00
01/05/06 01:00,0.00
01/05/06 02:00,0.00
01/05/06 03:00,0.00
01/05/06 04:00,0.00
01/05/06 05:00,0.00
01/05/06 06:00,0.00
01/05/06 07:00,0.08
01/05/06 08:00,2.23
01/05/06 09:00,0.56
01/05/06 10:00,4.20
01/05/06 11:00,4.87
01/05/06 12:00,5.09
01/05/06 13:00,4.69
01/05/06 14:00,3.54
01/05/06 15:00,1.30
01/05/06 16:00,0.00
01/05/06 17:00,0.00
01/05/06 18:00,0.00
01/05/06 19:00,0.00
01/05/06 20:00,0.00
01/05/06 21:00,0.00
01/05/06 22:00,0.00
01/05/06 23:00,0.00
01/06/06 00:00,0.00
01/06/06 01:00,0.00
01/06/06 02:00,0.00
01/06/06 03:00,0.00
01/06/06 04:00,0.00
01/06/06 05:00,0.00
01/06/06 06:00,0.00
01/06/06 07:00,0.07
01/06/06 08:00,2.15
01/06/06 09:00,0.84
01/06/06 10:00,4.75
01/06/06 11:00,5.19
01/06/06 12:00,5.11
01/06/06 13:00,4.62
01/06/06 14:00,3.52
01/06/06 15:00,1.34
01/06/06 16:00,0.00
01/06/06 17:00,0.00
01/06/06 18:00,0.00
01/06/06 19:00,0.00
01/06/06 20:00,0.00
01/06/06 21:00,0.00
01/06/06 22:00,0.00
01/06/06 23:00,0.00
01/07/06 00:00,0.00
01/07/06 01:00,0.00
01/07/06 02:00,0.00
01/07/06 03:00,0.00
01/07/06 04:00,0.00
01/07/06 05:00,0.00
01/07/06 06:00,0.00
01/07/06 07:00,0.07
01/07/06 08:00,2.10
01/07/06 09:00,0.84
01/07/06 10:00,4.58
01/07/06 11:00,4.96
01/07/06 12:00,4.85
01/07/06 13:00,3.55
01/07/06 14:00,3.14
01/07/06 15:00,1.10
01/07/06 16:00,0.00
01/07/06 17:00,0.00
01/07/06 18:00,0.00
01/07/06 19:00,0.00
01/07/06 20:00,0.00
01/07/06 21:00,0.00
01/07/06 22:00,0.00
01/07/06 23:00,0.00
01/08/06 00:00,0.00
01/08/06 01:00,0.00
01/08/06 02:00,0.00
01/08/06 03:00,0.00
01/08/06 04:00,0.00
01/08/06 05:00,0.00
01/08/06 06:00,0.00
01/08/06 07:00,0.08
01/08/06 08:00,2.21
01/08/06 09:00,0.20
01/08/06 10:00,3.66
01/08/06 11:00,4.32
01/08/06 12:00,3.84
01/08/06 13:00,4.25
01/08/06 14:00,3.34
01/08/06 15:00,1.09
01/08/06 16:00,0.00
01/08/06 17:00,0.00
01/08/06 18:00,0.00
01/08/06 19:00,0.00
01/08/06 20:00,0.00
01/08/06 21:00,0.00
01/08/06 22:00,0.00
01/08/06 23:00,0.00
01/09/06 00:00,0.00
01/09/06 01:00,0.00
01/09/06 02:00,0.00
01/09/06 03:00,0.00
01/09/06 04:00,0.00
01/09/06 05:00,0.00
01/09/06 06:00,0.00
01/09/06 07:00,0.07
01/09/06 08:00,2.23
01/09/06 09:00,0.44
01/09/06 10:00,4.04
01/09/06 11:00,4.27
01/09/06 12:00,2.74
01/09/06 13:00,4.71
01/09/06 14:00,3.76
01/09/06 15:00,1.49
01/09/06 16:00,0.00
01/09/06 17:00,0.00
01/09/06 18:00,0.00
01/09/06 19:00,0.00
01/09/06 20:00,0.00
01/09/06 21:00,0.00
01/09/06 22:00,0.00
01/09/06 23:00,0.00
01/10/06 00:00,0.00
01/10/06 01:00,0.00
01/10/06 02:00,0.00
01/10/06 03:00,0.00
01/10/06 04:00,0.00
01/10/06 05:00,0.00
01/10/06 06:00,0.00
01/10/06 07:00,0.08
01/10/06 08:00,2.19
01/10/06 09:00,0.66
01/10/06 10:00,3.94
01/10/06 11:00,3.44
01/10/06 12:00,3.04
01/10/06 13:00,2.76
01/10/06 14:00,1.84
01/10/06 15:00,0.58
01/10/06 16:00,0.00
01/10/06 17:00,0.00
01/10/06 18:00,0.00
01/10/06 19:00,0.00
01/10/06 20:00,0.00
01/10/06 21:00,0.00
01/10/06 22:00,0.00
01/10/06 23:00,0.00
01/11/06 00:00,0.00
01/11/06 01:00,0.00
01/11/06 02:00,0.00
01/11/06 03:00,0.00
01/11/06 04:00,0.00
01/11/06 05:00,0.00
01/11/06 06:00,0.00
01/11/06 07:00,0.08
01/11/06 08:00,2.17
