Bus Number,Lon,Lat
1,-114.808295,33.285811
2,-109.1680982,45.13173902
3,-118.6863909,36.19112647
4,-122.7764631,49.148646
5,-106.5667844,45.76577145
6,-122.1050485,47.85989803
7,-113.0817165,50.14400406
8,-111.8255887,33.40187695
9,-118.2775915,35.63191378
10,-115.4373276,36.17778318
11,-105.0603712,39.97614569
12,-122.1266422,47.92792991
13,-121.3316036,38.74883846
14,-112.7010408,39.93880983
15,-118.7893087,35.27034898
16,-106.5151545,35.13186351
17,-122.4666872,44.57826418
18,-116.3372192,38.53029186
19,-117.1914021,33.91853048
20,-120.8274213,43.01411078
21,-105.0551896,44.44618969
22,-115.1901013,52.86790004
23,-118.5151825,35.68668053
24,-121.828838,37.59517439
25,-122.3507897,47.66429986
26,-104.6214998,39.5101544
27,-125.2070067,50.66356346
28,-104.9082242,35.12024615
29,-111.8869244,33.29765812
30,-121.4018011,38.55920695
31,-123.5966292,39.68608147
32,-119.0691504,35.29596431
33,-117.3514287,49.3142205
34,-121.3028224,37.87304202
35,-122.042633,46.60039204
36,-111.8843961,33.12724545
37,-117.2842356,34.62976307
38,-105.05787,40.54560552
39,-104.6215711,40.51481955
40,-114.8503797,51.07632102
41,-118.5262968,35.70762181
42,-106.214358,36.19075735
43,-121.6494169,40.74236318
44,-120.2686459,36.32365248
45,-118.1823443,34.03594748
46,-112.8679628,48.73180064
47,-118.5087264,40.77438575
48,-118.6878969,33.73068821
49,-109.0884362,47.44021903
50,-111.1364064,39.49790145
51,-115.042712,34.1046153
52,-118.194261,33.7737557
53,-105.1039935,40.64169318
54,-106.4111545,39.13163135
55,-102.6055877,37.90534925
56,-121.8597164,58.66745831
57,-117.9740164,34.2097524
58,-118.4730297,47.24998597
59,-106.6875229,35.9000938
60,-109.592493,38.17593436
61,-122.4746261,42.30603879
62,-111.970651,41.00323018
63,-117.5006065,48.23775001
64,-122.3195576,48.91939147
65,-120.2188074,36.07122215
66,-113.6408651,42.51629571
67,-111.6451867,40.40763262
68,-122.9084834,44.46900858
69,-112.0731218,43.23626745
70,-104.7866233,39.96999295
71,-101.8202368,40.52680506
72,-118.784853,37.51503881
73,-106.3967372,31.81944145
74,-103.6198723,40.35454576
75,-114.9023553,36.11843957
76,-111.999773,32.98965807
77,-107.3221567,48.33831761
78,-121.3382274,38.53090836
79,-121.1034227,37.8581724
80,-120.646034,40.17353472
81,-121.0888503,37.64655914
82,-123.2602148,47.70762339
83,-107.064974,40.04625349
84,-120.9902529,39.19140208
85,-122.9546861,44.62484769
86,-120.7451037,37.69248989
87,-105.4194529,36.30419875
88,-123.1074964,44.95264318
89,-121.6287251,36.63173542
90,-119.1316755,39.09216786
91,-122.2632119,46.08158709
92,-109.271541,45.54478228
93,-109.8330967,32.33441913
94,-122.3608908,37.99176397
95,-111.9600892,40.94685099
96,-101.7588586,40.56431453
97,-121.3641574,38.80832373
98,-113.1058852,42.97815329
99,-111.9123601,33.29769556
100,-111.4985901,32.87570721
101,-122.4921777,49.19234956
102,-108.2224739,32.26224788
103,-108.6284242,38.34364525
104,-120.4258704,37.65793924
105,-107.4049244,39.57606264
106,-119.0464072,46.04124545
107,-122.3141138,47.64418846
108,-114.1725319,43.37193933
109,-118.8552705,35.02290472
110,-117.91672,34.16237903
111,-122.7467468,48.14144256
112,-115.5331491,37.35076141
113,-110.6404208,32.05973636
114,-115.8839211,37.10042981
115,-111.8600358,33.37142858
116,-117.3462697,34.26569139
117,-120.2970322,47.40933452
118,-105.8069823,40.12583468
119,-115.1181202,36.518755
120,-121.4967901,37.95497877
121,-111.7407243,32.78695409
122,-121.3439531,38.48027937
123,-121.9921213,37.78817085
124,-117.0925833,31.83087113
125,-122.7115136,43.13830832
126,-111.983822,40.64630903
127,-112.7847902,53.99227539
128,-111.9576145,33.41972516
129,-116.2917202,33.7498912
130,-121.5791125,47.10591578
131,-118.9078419,35.51652553
132,-115.7882815,48.86193686
133,-122.8024454,47.24542786
134,-118.5687809,47.85448521
135,-120.8029321,38.19845166
136,-120.0505813,38.8813029
137,-122.1153442,37.83453351
138,-119.0232995,36.04061723
139,-117.5107381,48.37830582
140,-121.360333,38.87821528
141,-119.7046161,50.34486285
142,-109.4635944,46.99669024
143,-113.921877,53.0658081
144,-112.0000711,40.84727657
145,-122.5711918,39.17756956
146,-101.8479637,39.90228242
147,-117.8209821,37.25170218
148,-118.4009442,35.04711165
149,-115.1940333,36.11663373
150,-110.4912936,44.8874281
151,-115.8325323,53.92047089
152,-117.1985383,46.10199403
153,-121.2723995,38.66580929
154,-121.5823046,38.54623272
155,-115.3779586,38.74906521
156,-117.7774451,33.67569921
157,-110.8114709,53.3095968
158,-122.3779611,47.60622919
159,-111.749545,44.31227017
160,-117.456206,33.91079815
161,-107.2386284,44.45126138
162,-116.2919964,46.74626992
163,-121.4258732,45.63807879
164,-121.1624527,37.73582309
165,-117.680767,34.13134303
166,-111.8886598,40.81455565
167,-104.5495614,38.59229944
168,-122.0009574,47.35272611
169,-120.8231522,37.61209192
170,-109.8042952,48.78489192
171,-121.6604128,44.82863887
172,-118.2552285,47.31860238
173,-121.9276273,37.21114284
174,-108.740899,47.43422265
175,-120.9539633,38.61320009
176,-110.0732883,52.4583232
177,-122.9961492,38.8990682
178,-118.0349076,34.16296315
179,-111.58634,41.28503598
180,-121.4905515,37.99980614
181,-119.8908574,37.27549569
182,-105.4866245,37.5459406
183,-115.9976267,33.42687859
184,-120.7309662,34.91293829
185,-117.0449636,32.67034014
186,-121.1181938,35.56602612
187,-121.0728791,38.83807942
188,-123.1507168,39.20635671
189,-118.1848768,34.47182827
190,-113.9607155,44.88594754
191,-103.8162321,44.15273466
192,-105.8437037,39.08702813
193,-113.124312,53.55897633
194,-117.1617983,33.05509984
195,-123.1673484,41.1767352
196,-121.264926,37.88339297
197,-108.6251419,38.46931342
198,-107.1220794,32.70776512
199,-113.3297971,51.41714045
200,-104.5523125,42.44506978
201,-106.5634716,34.89973215
202,-107.7786879,33.19877468
203,-118.8009018,47.54331962
204,-118.1013694,33.77524371
205,-118.3924965,40.56307963
206,-115.0526673,36.20496805
207,-122.1500597,37.61232374
208,-121.1966169,37.381077
209,-106.5666775,42.58890697
210,-112.3156463,40.71124063
211,-104.9156359,36.70751227
212,-110.5248057,31.98324564
213,-103.6357587,43.5765943
214,-105.0807197,39.76359193
215,-117.4461531,35.02309092
216,-122.0422772,37.8763067
217,-121.8284697,37.81881335
218,-121.6678411,37.7470377
219,-102.5219703,40.21060126
220,-116.1020223,32.93617736
221,-122.9787849,44.07339096
222,-104.7454408,39.09109988
223,-122.5181209,47.40335386
224,-119.3763246,35.01816349
225,-121.6356848,37.75602393
226,-106.5659327,35.13423688
227,-118.148322,33.58029667
228,-109.376573,37.69428426
229,-112.3679612,41.77475527
230,-111.0782412,45.41921995
231,-118.2863616,33.67974586
232,-121.6241535,38.84597967
233,-117.3486973,33.08431824
234,-118.0409205,34.06461302
235,-107.0100071,32.60700351
236,-114.879812,36.20514622
237,-121.0331404,47.76923165
238,-120.627285,46.60630387
239,-115.3060914,42.34573453
240,-110.7115467,42.55836265
241,-122.8830787,38.95206861
242,-114.9848242,32.56434042
243,-121.3428077,38.58656648
244,-122.5703501,46.48522912
245,-114.2193352,50.2689691
246,-123.8849409,40.43321787
247,-121.6752247,37.64909812
248,-120.8183641,35.70994667
249,-121.6180052,37.74353461
250,-111.5450872,40.34666165
251,-104.919942,39.60144394
252,-118.9101273,44.27961067
253,-106.6490359,35.09582951
254,-104.8057631,38.92098739
255,-117.2176357,47.55826032
256,-112.0484635,41.70495574
257,-115.1399047,33.91929982
258,-102.2415115,40.31575416
259,-111.0639749,31.92391567
260,-108.4179393,44.90980692
261,-105.299304,35.56465126
262,-111.8325235,48.42325013
263,-117.2726927,32.95758307
264,-110.7427663,34.80259474
265,-112.6541497,34.35078312
266,-123.1446449,39.20384433
267,-117.989593,33.79344182
268,-121.326235,38.67637437
269,-107.3209939,48.05453443
270,-121.4170945,38.30473172
271,-110.6866633,44.09119528
272,-116.3300235,49.18181063
273,-118.865448,35.72982655
274,-111.8840601,40.85054478
275,-112.0856429,33.38360302
276,-112.0678526,47.01926659
277,-121.4800189,39.41351361
278,-119.1040612,34.85318576
279,-117.8649006,33.90915573
280,-107.5316427,32.44151321
281,-109.7880554,40.50127977
282,-113.2212971,40.32067306
283,-103.042338,43.9623923
284,-122.0299863,47.50745944
285,-121.1557267,38.72762871
286,-122.8597045,45.05614206
287,-112.9680112,46.39336922
288,-103.7404778,43.47445358
289,-111.8732773,40.8700733
290,-116.1265995,33.49391377
291,-111.5344533,32.95302951
292,-122.8745651,45.55978781
293,-121.3142782,38.61828321
294,-122.9741226,44.9097716
295,-104.7040207,40.03397161
296,-120.2300491,34.66790399
297,-122.0284189,37.53025586
298,-121.9102801,37.2634361
299,-121.3149118,38.62244653
300,-124.9618926,47.89785704
301,-110.7484706,46.51276807
302,-120.3344832,36.10784157
303,-118.2427582,34.28606593
304,-112.3133646,43.58323576
305,-111.6723944,41.82444774
306,-112.0695633,40.19823366
307,-104.9150856,39.57473516
308,-113.8186655,54.01379639
309,-110.2781349,41.84103398
